Matvare;Vann;Kilojoule;Kilokalorier;Fett;Omega-3;Karbohydrat;Sukker, tilsatt;Protein;Salt;Alkohol;Vitamin A;Vitamin D;Vitamin E;Vitamin B6;Vitamin C;Kalsium
Geitmelk, langtidsholdbar;89;286;69;4,5;0,02;4;0;3;0;0;18;0;0,1;0,06;0;103
Helmelk, 3,5 % fett, laktosefri;90;249;60;3,5;0,01;3;0;4;0,1;0;50;0;0,1;0,03;0;120
Helmelk, 3,5 % fett, Tine;89;264;63;3,5;0,01;4,5;0;3,4;0,1;0;0;0;0;0;0;130
Helmelk, 3,9 % fett, Q-meieriene;88;279;67;3,9;0,03;4,6;0;3,3;0,1;0;38;0;0,1;0,04;0;120
Helmelk, 4,1 % fett, økologisk;88;279;67;4,1;0,02;4,5;0;3;0,1;0;0;0;0;0;0;120
Helmelk, uspesifisert;87;260;62;3,5;0,02;4,4;0;3,3;0,1;0;42;0;0,1;0,04;0;115
Kaffemelk, 3,5 % fett;89;255;61;3,5;0,01;4,4;0;3;0,1;0;42;0;0,1;0,04;0;115
Kakao, med lettmelk, tilberedt;82;338;80;1,6;0;11,7;7;4,2;0,1;0;3;0,3;0;0,02;0;124
Lettmelk, 0,5 % fett, vitamin D, laktosefri;92;139;33;0,5;0;3,1;0;4;0,1;0;9;0,4;0;0,03;0;130
Lettmelk, 0,5 % fett, vitamin D, Q-meieriene;91;156;37;0,5;0;4,6;0;3,5;0,1;0;7;0,4;0;0,04;0;120
Lettmelk, 0,5 % fett, vitamin D, Tine;92;155;37;0,5;0;4,5;0;3,5;0,1;0;0;0,8;0;0,04;0;130
Lettmelk, 0,5-0,7 % fett, vitamin D, uspesifisert;91;162;38;0,7;0;4,5;0;3,5;0,1;0;6;0,4;0;0,04;0;130
Lettmelk, 0,7 % fett, økologisk;92;157;37;0,7;0;4,7;0;3;0,1;0;0;0;0;0;0;120
Lettmelk, 1,0 % fett, laktosefri;92;158;37;1;0;3,1;0;4;0,1;0;16;0;0;0,03;0;120
Lettmelk, 1,0 % fett, laktoseredusert;91;182;43;1;0;4,5;0;4;0,1;0;15;0,4;0;0,04;0;130
Lettmelk, 1,0 % fett, Q-meieriene;91;175;41;1;0,01;4,6;0;3,5;0,1;0;15;0;0;0,04;0;120
Lettmelk, 1,0 % fett, Tine;91;173;41;1;0;4,5;0;3,5;0,1;0;0;0;0;0;0;130
Lettmelk, 1,2 % fett, langtidsholdbar;90;189;45;1,2;0;4,5;0;4;0,1;0;16;0;0;0,04;0;130
Lettmelk, 1,2 % fett, økologisk;91;175;42;1,2;0,01;4,7;0;3;0,1;0;0;0;0;0;0;120
Lettmelk, 1-1,2 % fett, uspesifisert;90;180;43;1,2;0,01;4,5;0;3,5;0,1;0;12;0;0;0,04;0;120
Lettmelk, kakao, vitamin D;89;201;48;1,1;0;5,3;0;4;0,1;0;13;0,4;0;0,04;0;117
Lettmelk, uspesifisert;91;173;41;1;0;4,5;0;3,5;0,1;0;9;0,2;0;0,04;0;120
Melk, uspesifisert;90;188;45;1,4;0,01;4,5;0;3,5;0,1;0;14;0,1;0;0,04;0;120
Milkshake, sjokoladesmak;83;314;74;1,5;0,01;11,1;4,8;4;0,4;0;19;0;0;0,17;0;134
Sjokolademelk, av pulver og lettmelk;85;268;63;0,9;0;10;5,6;3,6;0,1;0;2;0,3;0;0,02;0;121
Sjokolademelk, Litago;89;201;48;0,8;0;5,9;1,4;4;0,1;0;8;0,4;0;0,04;0;128
Sjokolademelk, Sjokomelk;86;261;62;1,2;0;8,5;4,1;4;0,1;0;15;0;0;0,04;0;125
Sjokolademelk, uten tilsatt sukker, Litago Uten;88;209;50;1,3;0,01;4,6;0;4;0,1;0;16;0;0;0,04;0;118
Skummet melk, Styrk;90;167;39;0,1;0;4,6;0;5;0,1;0;1;0,8;0;0,04;0;200
Skummet melk, Tine;92;140;33;0,1;0;4,5;0;3,5;0,1;0;1;0;0;0,04;0;130
Syrnet melk, blåbær, laktosefri, Biola;87;215;51;0,1;0;9,4;5,3;3;0,1;0;1;0,8;0;0,03;1;116
Syrnet melk, blåbær, mager, Biola;88;209;49;0,1;0;9,1;5,3;3;0,1;0;1;0,8;0;0,03;1;116
Syrnet melk, blåbær/bringebær, BioQ;85;239;56;0,1;0;10,3;5;2,9;0,2;0;3;0;0;0,04;1;96
Syrnet melk, bringebær, Biola;88;215;51;0,1;0;9,4;4,9;3;0,1;0;0;0,8;0;0,04;1;100
Syrnet melk, jordbær, Biola;87;220;52;0,1;0;9,7;4,9;3;0,1;0;0;0,8;0;0,04;1;100
Syrnet melk, Kulturmjølk;90;222;53;2,6;0,01;4,4;0;3;0,1;0;36;0;0,1;0,04;0;120
Syrnet melk, naturell, Biola;91;170;40;1;0;4,8;0;3;0,1;0;15;0,9;0;0,04;0;115
Syrnet melk, rødbete/eple/lime, Biola;90;196;46;0,9;0;6,5;1,4;3;0,1;0;14;0,8;0;0,04;0;100
Syrnet melk, Skumma Kulturmjølk;92;139;33;0,4;0;4,1;0;3,2;0,1;0;4;0;0;0,04;0;115
Syrnet melk, økologisk, Kefir;94;162;39;3;0,02;0;0;3;0,1;0;13;0;0,1;0,04;0;120
Skyr, med smak, kunstig søtet;83;248;58;0,2;0;4;0;10;0,1;0;0;0;0;0,06;1;97
Skyr, naturell;82;314;74;1;0;4,3;0;12;0,1;0;12;0;0;0,05;0;120
Yoghurt, blåbær, 0 % fett, Yoplait;88;192;45;0,1;0;6;0;4;0,1;0;2;0;0;0,03;1;135
Yoghurt, jordbær;82;361;86;3,1;0,01;10,5;5,3;4;0,1;0;37;0;0,1;0,03;0;140
Yoghurt, med müsli og skogsbær, Go Morgen;75;493;117;3,4;0,01;17,1;5,2;4;0,1;0;33;0;0,1;0,03;0;125
Yoghurt, naturell;87;289;69;3,4;0,01;5,6;0;4;0,1;0;41;0;0,1;0,04;0;160
Yoghurt, naturell, laktosefri;87;284;68;3,4;0,01;5,3;0;4;0,1;0;41;0;0,1;0,04;0;160
Yoghurt, naturell, økologisk;87;289;69;3,4;0,02;5,6;0;4;0,1;0;15;0;0,1;0,04;0;160
Yoghurt, vanilje, 0 % fett, Yoplait;88;191;45;0,1;0;6;0;4,5;0,1;0;2;0;0;0,04;1;150
Yoghurt, vanilje, laktosefri;83;344;82;3;0,01;9,7;5,1;4;0,1;0;36;0;0,1;0,03;0;140
Crème Fraîche, 35 % fett;60;1378;335;35;0,14;2,9;0;2;0,1;0;505;0,2;0,8;0,02;0;80
Dessert-topping på boks;66;1075;260;25;0;7,3;7,3;1,5;2,2;0;M;M;M;M;0;160
Husholdningshvitt, flytende;88;368;89;8,2;0;2,9;2,9;0,9;1,3;0;M;M;M;M;0;160
Kaffefløte, 10 % fett;83;491;118;10;0,04;4,1;0;3;0,1;0;144;0,1;0,2;0,03;0;119
Kaffehvitt;85;442;107;10,2;0;2,9;2,9;0,9;1,3;0;M;M;M;M;0;160
Kaffehvitt, pulver, Coffeemate;3;2286;548;34,5;0,2;57,3;0;2,1;1;0;17;0;0,6;0;0;4
Krem, pisket, på boks;60;1340;325;33;0,13;5;2;2;0,1;0;148;0;0,8;0,02;0;80
Kremfløte, 37 % fett;58;1452;353;37;0,15;2,9;0;2;0,1;0;352;0;0;0;0;0
Kremfløte, 37 % fett, laktosefri;58;1452;353;37;0,15;2,9;0;2;0,1;0;535;0,2;0,9;0,02;0;76
Kvarg, 1 % fett, Kesam;85;280;66;1;0;4,3;0;10;0,1;0;4;0;0;0,05;0;125
Kvarg, 7 % fett, Kesam;82;450;108;7,1;0,03;4;0;7;0,1;0;32;0;0,2;0;0;133
Lettrømme, 10 % fett;83;491;118;10;0,04;4,1;0;3;0,1;0;44;0,1;0,2;0,03;0;119
Lettrømme, 18 % fett;75;780;189;18;0,07;3,7;0;3;0,1;0;259;0,1;0,4;0,03;0;105
Lettrømme, 18 % fett, økologisk;75;780;189;18;0,09;3,7;0;3;0,1;0;258;0,1;0,4;0,03;0;105
Matfløte, 18 % fett;75;780;189;18;0,07;3,7;0;3;0,1;0;260;0,1;0,4;0,03;0;104
Matlagingsprodukt, av havre, 13 % fett;79;605;146;12,8;0,91;6,7;M;0,7;0,1;0;0;0;0;0;0;18
